Title,Platform,Genre,Price,Score,
Monster Hunter World,PC,Action,No Data,August 7  2018,9.5 Amazing
Overcooked 2,PlayStation 4,Party,No Data,August 7  2018,8.5 Great
Overcooked 2,Nintendo Switch,Party,No Data,August 7  2018,8.5 Great
Madden NFL 19,PlayStation 4,Sports,No Data,August 2  2018,8.9 Great
Madden NFL 19,Xbox One,Sports,No Data,August 2  2018,8.9 Great
Salt and Sanctuary,PC,"Action, RPG",No Data,August 1  2018,8.6 Great
Salt and Sanctuary,PlayStation 4,"Action, RPG",No Data,August 1  2018,8.6 Great
Salt and Sanctuary,Nintendo Switch,"Action, RPG",No Data,August 1  2018,8.6 Great
Salt and Sanctuary,PlayStation Vita,"Action, RPG",No Data,August 1  2018,8.6 Great
Chasm,PC,Action,No Data,July 31  2018,7 Good
Wario Ware Gold,Nintendo 3DS,Party,No Data,July 31  2018,7 Good
No Man's Sky,PC,Adventure,No Data,July 31  2018,7 Good
No Man's Sky,Xbox One,Adventure,No Data,July 31  2018,7 Good
No Man's Sky,PlayStation 4,Adventure,No Data,July 31  2018,7 Good
Marvel Powers United VR,PC,Action,No Data,July 31  2018,6.7 Okay
The Banner Saga 3,PC,Strategy,No Data,July 26  2018,8.3 Great
The Banner Saga 3,PlayStation 4,Strategy,No Data,July 26  2018,8.3 Great
Mega Man X Legacy Collection 2,Xbox One,"Action, Compilation",No Data,July 25  2018,6 Okay
Halo: Fireteam Raven,Arcade,Shooter,No Data,July 24  2018,7.3 Good
Mega Man X Legacy Collection 1 & 2,Xbox One,"Action, Compilation",No Data,July 24  2018,9 Amazing
Mega Man X Legacy Collection 1 & 2,Nintendo Switch,"Action, Compilation",No Data,July 24  2018,9 Amazing
Mega Man X Legacy Collection 1,Nintendo Switch,"Action, Compilation",No Data,July 24  2018,9 Amazing
Mega Man X Legacy Collection 1,Xbox One,"Action, Compilation",No Data,July 24  2018,9 Amazing
Adventure Time: Pirates of the Enchiridion,PC,Adventure,No Data,July 18  2018,5.8 Mediocre
Far Cry 5: Lost on Mars,PC,Shooter,No Data,July 17  2018,5.5 Mediocre
Monster Hunter World,PC,Action,No Data,August 7  2018,9.5 Amazing